model,quantization,mode,total_problems,passed_problems,pass_rate,energy_joules,energy_per_problem,avg_power_watts,max_power_watts,min_power_watts
deepseek-r1-distill-qwen-1.5b,F16,base,2776,291,0.10482708933717579,584609.9239794852,210.59435301854654,10.76247132386699,16.849999999999998,10.0
deepseek-r1-distill-qwen-1.5b,F16,full_tool,1741,248,0.1424468696151637,942654.5300394061,541.4443021478496,10.758687425491223,23.05,10.0
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,2850,289,0.10140350877192983,523250.2507402657,183.59657920711078,10.745975414930685,19.45,10.0
deepseek-r1-distill-qwen-1.5b,Q4_K_M,full_tool,2390,291,0.12175732217573222,1074340.2588065264,449.514752638714,10.72190489443459,17.0,10.0
gemma-3n-e2b-it,F16,base,2207,330,0.1495242410512007,92914.71269642115,42.10000575279617,10.726164583742188,21.95,10.0
gemma-3n-e2b-it,F16,full_tool,2451,262,0.10689514483884129,125016.4297188997,51.006295274948876,10.707261216350174,13.5,10.0
gemma-3n-e2b-it,F16,tool_submission,2143,336,0.1567895473635091,84761.29107998611,39.552632328504956,10.723303873649803,19.4,10.0
gemma-3n-e2b-it,Q4_K_M,base,2305,323,0.14013015184381777,103775.42012315987,45.02187423998259,10.809154134389573,21.7,10.0
gemma-3n-e2b-it,Q4_K_M,full_tool,2239,268,0.11969629298794104,113325.91599956749,50.61452255451875,10.812705880405646,21.95,10.0
gemma-3n-e2b-it,Q4_K_M,tool_submission,2146,340,0.15843429636533085,98480.39289518591,45.89021104155914,10.836477835491358,22.1,10.0
llama-3.2-3b-instruct,F16,base,2485,317,0.12756539235412476,62318.79744163752,25.077986898043267,10.686237613682318,16.35,10.0
llama-3.2-3b-instruct,F16,full_tool,2685,305,0.11359404096834265,181160.11435517072,67.47117853078984,10.720642644285244,16.7,10.0
llama-3.2-3b-instruct,F16,tool_submission,2470,322,0.13036437246963561,71299.47213512658,28.866183050658535,10.705867509456302,16.0,10.0
llama-3.2-3b-instruct,Q4_K_M,base,2416,322,0.13327814569536423,57181.71561224462,23.667928647452243,10.605945811289002,12.8,10.05
llama-3.2-3b-instruct,Q4_K_M,full_tool,2649,306,0.11551528878822197,145745.03814381358,55.01888944651324,10.669285926492298,21.8,10.0
llama-3.2-3b-instruct,Q4_K_M,tool_submission,2381,332,0.13943721125577488,63674.08094791173,26.742579146539995,10.652289076827246,15.15,10.0
qwen-3-0.6b,F16,base,2837,272,0.09587592527317589,472396.5712417007,166.51271457233017,11.123530252404306,16.2,10.0
qwen-3-0.6b,F16,full_tool,2437,288,0.11817808781288469,1021533.4405187488,419.17662721327406,11.105532628582038,22.35,10.2
qwen-3-0.6b,F16,tool_submission,2967,269,0.0906639703404112,484408.79038248083,163.2655174865119,11.119095474790374,19.85,10.15
qwen-3-0.6b,Q4_K_M,base,3007,263,0.08746258729630861,447980.2255469442,148.97912389323054,10.734655499488444,21.05,10.0
qwen-3-0.6b,Q4_K_M,full_tool,2657,278,0.10462928114414753,1098417.388794696,413.40511433748435,10.731447192848083,23.900000000000002,10.0
qwen-3-0.6b,Q4_K_M,tool_submission,3205,242,0.07550702028081123,459982.3458041668,143.52023270020806,10.719608007699495,22.0,10.0
qwen-3-4b,F16,base,2659,293,0.11019180142910869,770692.2751755477,289.842901532737,10.794626118702615,20.7,10.2
qwen-3-4b,F16,full_tool,891,313,0.35129068462401797,709012.1518551226,795.7487675141668,10.84622383478051,20.45,10.0
qwen-3-4b,F16,tool_submission,2103,346,0.16452686638135997,572535.9215869905,272.2472285244843,10.807565223625838,22.35,10.2
qwen-3-4b,Q4_K_M,base,500,153,0.306,101491.88875111342,202.98377750222684,10.736638059401052,13.85,10.2
qwen-3-4b,Q4_K_M,full_tool,500,305,0.61,199087.7047897696,398.1754095795392,10.75742592935672,16.35,10.2
qwen-3-4b,Q4_K_M,tool_submission,500,251,0.502,85698.16707047222,171.39633414094445,10.749615674314356,13.5,10.1
