model,quantization,mode,avg_tool_calls,avg_duplicates
deepseek-r1-distill-qwen-1.5b,F16,base,0.0,0.0
deepseek-r1-distill-qwen-1.5b,F16,full_tool,1.0028719126938541,0.2205628948879954
deepseek-r1-distill-qwen-1.5b,Q4_K_M,base,0.0,0.0
deepseek-r1-distill-qwen-1.5b,Q4_K_M,full_tool,0.895397489539749,0.1401673640167364
gemma-3n-e2b-it,F16,base,0.0,0.0
gemma-3n-e2b-it,F16,full_tool,2.9914320685434515,0.07343941248470012
gemma-3n-e2b-it,F16,tool_submission,0.9570695286980868,0.0
gemma-3n-e2b-it,Q4_K_M,base,0.0,0.0
gemma-3n-e2b-it,Q4_K_M,full_tool,2.753461366681554,0.16703885663242518
gemma-3n-e2b-it,Q4_K_M,tool_submission,0.961789375582479,0.0
llama-3.2-3b-instruct,F16,base,0.0,0.0
llama-3.2-3b-instruct,F16,full_tool,1.893854748603352,0.4685288640595903
llama-3.2-3b-instruct,F16,tool_submission,0.02834008097165992,0.0012145748987854252
llama-3.2-3b-instruct,Q4_K_M,base,0.0,0.0
llama-3.2-3b-instruct,Q4_K_M,full_tool,1.6685541713854284,0.36051340128350323
llama-3.2-3b-instruct,Q4_K_M,tool_submission,0.14153716925661486,0.01637967240655187
qwen-3-0.6b,F16,base,0.0,0.0
qwen-3-0.6b,F16,full_tool,0.7775954041854739,0.002872384078785392
qwen-3-0.6b,F16,tool_submission,0.35658914728682173,0.0
qwen-3-0.6b,Q4_K_M,base,0.0,0.0
qwen-3-0.6b,Q4_K_M,full_tool,0.7809559653744825,0.021452766277756868
qwen-3-0.6b,Q4_K_M,tool_submission,0.3453978159126365,0.0031201248049922
qwen-3-4b,F16,base,0.0,0.0
qwen-3-4b,F16,full_tool,0.6374859708193041,0.0
qwen-3-4b,F16,tool_submission,0.23823109843081314,0.0
qwen-3-4b,Q4_K_M,base,0.0,0.0
qwen-3-4b,Q4_K_M,full_tool,0.8117647058823529,0.0
qwen-3-4b,Q4_K_M,tool_submission,0.5568627450980392,0.0
